Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
R165,R,Blueberry Park,,,,,,,,Small Park,,,,"Staten Island
Sector 3",,District 3,,,0.72,0.72,,,1,,1,2,1.00,,19.00,,,17.00,,45.00,,1.1,1.6,2.1,3.9,,No,No,No,No,0.00,0.00,29.00,0.00
X200,X,Clark Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.72,0.72,,10,13,,9,15,141.00,,188.00,,,131.00,,233.00,,4.9,5.7,5.2,4.8,,No,No,No,No,1476.00,828.00,633.00,391.00
X161,X,Gun Hill Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Bronx Sector
11.12",,"Districts 11, 12",,,0.72,0.72,,22,22,,10,18,296.00,,290.00,,,153.00,,254.00,,6.3,6.8,6.2,5.2,,No,No,No,No,7774.00,644.00,199.00,487.00
X113 1,X,Hunts Point Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.72,0.72,,13,8,,7,8,192.00,,113.00,,,105.00,,111.00,,4.6,5.5,4.4,5.9,,No,No,No,No,306.00,314.00,78.00,915.00
X265,X,Galileo Playground,,,,,,,,Small Park,Playground,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.71,0.71,,13,7,,7,8,202.00,,120.00,,,106.00,,128.00,,5.9,5.1,4.8,5.6,,No,No,No,No,939.00,542.00,457.00,713.00
X228,X,I-Am-Park,,,,,,,,Small Park,Athletic Facilities,,,Bronx Sector 1.2,,"Districts 1, 2",,,0.71,0.71,,11,18,,11,21,148.00,,216.00,,,135.00,,302.00,,5.5,5.5,5.5,4.9,,No,Yes,Yes,No,34.00,37.00,92.00,0.00
B317,B,Lafayette Gardens Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.71,0.71,,30,44,,46,56,464.00,,622.00,,,557.00,,690.00,,6.4,5.8,5.3,6.5,,No,Yes,Yes,Yes,172.00,13.00,0.00,768.00
B149B,B,Linwood Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.71,0.71,,12,12,,8,9,179.00,,180.00,,,123.00,,123.00,,5.2,5.2,4.6,4.1,,No,No,No,No,40.00,5.00,252.00,35.00
B255C,B,Purple Playground,,,,,,,,Small Park,Playground,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.71,0.71,,11,8,,11,15,167.00,,126.00,,,152.00,,217.00,,5.8,5.5,5.0,4.2,,Yes,Yes,Yes,Yes,265.00,0.00,0.00,7.00
X106,X,Garrison Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.70,0.70,,2,5,,4,7,39.00,,71.00,,,58.00,,103.00,,2.5,3.7,3.2,4.7,,No,No,No,No,282.00,241.00,15.00,408.00
X257,X,Mount Hope Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Bronx Sector 4.5,,"Districts 4, 5",,,0.70,0.70,,20,9,,10,15,301.00,,142.00,,,156.00,,233.00,,6.3,5.6,4.5,5.2,,No,No,No,No,689.00,376.00,69.00,362.00
Q041,Q,Newtown Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,Queens Sector 3.4,,"Districts 3, 4",,,0.70,0.70,,12,8,,7,26,198.00,,134.00,,,116.00,,352.00,,5.8,4.9,5.2,6.6,,No,No,No,No,735.00,1480.00,1712.00,843.00
B300,B,Oracle Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 2,,District 2,,,0.70,0.70,,35,56,,54,26,430.00,,701.00,,,688.00,,385.00,,5.0,6.3,5.8,5.5,,Yes,Yes,Yes,No,217.00,398.00,394.00,409.00
Q416,Q,Park,,,,,,,,Small Park,,,,Queens Sector 14,,District 14,,,0.70,0.70,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,28.00,0.00
Q397,Q,Auburndale Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort Stations,Playground",,,Queens Sector 7,,District 7,,,0.69,0.69,,2,2,,3,2,44.00,,40.00,,,50.00,,52.00,,3.1,2.5,3.1,2.7,,No,No,No,No,310.00,616.00,594.00,444.00
M160,M,Fred Samuel Playground,,,,,,,,Small Park,"Athletic Facility,Comfort
Station,Playground",,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.69,0.69,,106,15,,12,45,1281.00,,173.00,,,145.00,,526.00,,6.5,4.6,5.9,6.5,,Yes,No,No,Yes,7999.00,1269.00,996.00,887.00
M063,M,Gertrude Ederle Recreation Center,,,,,,,,Small Park,Comfort Station,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.69,0.69,,13,11,,10,15,166.00,,148.00,,,130.00,,186.00,,6.4,6.2,5.9,6.5,,No,No,No,No,3105.00,5488.00,3955.00,2789.00
B246,B,Jerome Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.69,0.69,,10,11,,10,13,127.00,,127.00,,,143.00,,164.00,,4.6,4.7,4.8,5.3,,No,No,No,No,312.00,72.00,74.00,160.00
B288,B,Slope Park Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.69,0.69,,26,16,,16,22,416.00,,264.00,,,236.00,,328.00,,6.1,6.0,5.8,5.8,,Yes,Yes,Yes,Yes,647.00,1287.00,194.00,1164.00
B283,B,Belmont Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,"Brooklyn Sector
5.16",,"Districts 5, 16",,,0.68,0.68,,9,14,,11,19,132.00,,183.00,,,142.00,,242.00,,5.0,5.4,5.7,5.6,,Yes,Yes,Yes,Yes,552.00,94.00,104.00,336.00
X164 60,X,Dawson Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.68,0.68,,35,31,,24,19,523.00,,471.00,,,370.00,,278.00,,5.2,5.8,6.1,5.9,,No,No,No,No,3536.00,1998.00,252.00,325.00
M064,M,Lillian D Wald Playground,,,,,,,,Small Park,Athletic Facilities,,,Manhattan Sector 3,,District 3,,,0.68,0.68,,6,5,,5,6,79.00,,67.00,,,78.00,,85.00,,5.9,5.1,5.6,6.2,,No,No,No,No,112.00,550.00,12.00,107.00
M148,M,White Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.68,0.68,,14,13,,12,26,177.00,,154.00,,,129.00,,302.00,,4.8,5.6,6.4,6.7,,No,No,No,No,635.00,52.00,79.00,1038.00
M379,M,Canal Park,,,,,,,,Small Park,,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.67,0.67,,3,5,,4,4,37.00,,66.00,,,58.00,,60.00,,4.6,5.0,4.8,5.5,,No,No,No,No,29.00,619.00,0.00,142.00
B173,B,Fraser Square,,,,,,,,Small Park,,,,"Brooklyn Sector
17.18",,"Districts 17, 18",,,0.67,0.67,,3,5,,2,2,49.00,,66.00,,,37.00,,27.00,,2.6,1.0,2.2,2.1,,No,No,No,No,40.00,40.00,0.00,60.00
M211A,M,St. Nicholas Playground South,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.67,0.67,,51,47,,13,40,662.00,,581.00,,,170.00,,484.00,,6.5,6.1,5.8,6.2,,Yes,Yes,No,Yes,141.00,50.00,471.00,575.00
M240,M,Audubon Playground,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,"Manhattan
Sector 12.12A",,"Districts 12, 12A",,,0.66,0.66,,69,31,,37,30,818.00,,358.00,,,363.00,,366.00,,6.3,5.6,6.5,5.8,,Yes,Yes,Yes,Yes,600.00,1375.00,292.00,219.00
Q457,Q,College Point Park,,,,,,,,Small Park,Athletic Facilities,,,Queens Sector 7,,District 7,,,0.66,0.66,,8,2,,6,5,126.00,,28.00,,,86.00,,81.00,,2.6,2.0,2.5,1.9,,No,No,Yes,Yes,249.00,102.00,0.00,116.00
M211B 1,M,St. Nicholas Playground North,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.66,0.66,,25,23,,6,36,322.00,,279.00,,,87.00,,439.00,,6.6,6.1,5.1,5.8,,Yes,Yes,No,Yes,43.00,2257.00,601.00,1392.00
X170,X,The Pearly Gates,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Bronx Sector
9.10",,"Districts 9, 10",,,0.66,0.66,,113,41,,21,35,1653.00,,530.00,,,276.00,,498.00,,5.1,5.3,3.9,6.0,,Yes,Yes,Yes,Yes,1432.00,1058.00,382.00,522.00
M286 61,M,Asphalt Green,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,0.66,4.35,,8,11,,7,7,134.00,,167.00,,,111.00,,105.00,,6.0,6.6,7.0,6.5,,No,No,No,No,563.00,497.00,292.00,103.00
B162,B,Brizzi Playground,,,,,,,,Small Park,Playground,,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,0.65,0.65,,13,13,,9,19,192.00,,190.00,,,149.00,,281.00,,6.0,5.8,5.3,6.2,,No,No,No,No,47.00,298.00,288.00,936.00
M155,M,Courtney Callender Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Manhattan
Sector 10.11",,"Districts 10, 11",,,0.65,0.65,,18,19,,14,16,224.00,,242.00,,,189.00,,177.00,,5.9,5.4,5.7,5.2,,No,No,No,No,6496.00,102.00,411.00,227.00
R100,R,Drumgoole Tot Lot,,,,,,,,Small Park,Playground,,,"Staten
Island Sector 3",,District 3,,,0.64,0.64,,6,6,,5,7,83.00,,91.00,,,86.00,,105.00,,6.3,6.1,5.7,6.5,,No,No,No,No,56.00,0.00,0.00,153.00
X053,X,O'Neill Triangle,,,,,,,,Small Park,,,,Bronx Sector 3.6,,"Districts 3, 6",,,0.64,0.64,,9,5,,4,7,132.00,,75.00,,,61.00,,108.00,,5.3,3.7,3.9,5.5,,No,No,No,No,0.00,30.00,0.00,113.00
X175,X,Riverbend Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 7.8,,"Districts 7, 8",,,0.64,0.64,,13,10,,6,11,179.00,,153.00,,,89.00,,167.00,,4.8,5.5,5.4,4.8,,No,No,No,No,410.00,829.00,266.00,456.00
M069,M,Vesuvio Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.64,0.64,,26,18,,8,13,176.00,,159.00,,,129.00,,183.00,,5.7,4.8,4.9,6.2,,Yes,Yes,Yes,No,1696.00,573.00,3131.00,3864.00
X148A3,X,Bridge Playground,,,,,,,,Small Park,Athletic Facilities,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.63,0.63,,11,10,,6,9,158.00,,151.00,,,90.00,,132.00,,5.3,5.3,4.5,4.5,,No,No,No,No,71.00,273.00,297.00,287.00
B223F 34,B,Squibb Park,,,,,,,,Small Park,Comfort Station,,,Brooklyn Sector 2,,District 2,,,0.63,0.63,,,,,1,,,,,,,11.00,,,,,,1.0,,,,,No,,,,,
Q013,Q,Veterans Grove,,,,,,,,Small Park,Playground,,,Queens Sector 3.4,,"Districts 3, 4",,,0.63,0.63,,6,9,,6,11,118.00,,135.00,,,102.00,,172.00,,3.5,4.2,4.8,6.5,,No,No,No,No,107.00,595.00,103.00,130.00
Q376,Q,Cedar Grove Playground,,,,,,,,Small Park,Athletic Facilities,,,Queens Sector 8.9,,"Districts 8, 9",,,0.62,0.62,,2,4,,3,3,30.00,,54.00,,,51.00,,41.00,,2.2,3.5,3.3,3.5,,No,No,No,No,0.00,0.00,0.00,235.00
X258,X,Cleopatra Playground,,,,,,,,Small Park,"Athletic Facility,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,0.62,0.62,,10,5,,5,8,158.00,,78.00,,,80.00,,124.00,,6.2,5.7,4.8,5.7,,No,No,No,No,116.00,646.00,154.00,62.00
B149A,B,Elton Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.62,0.62,,12,11,,8,9,175.00,,157.00,,,118.00,,132.00,,5.2,5.0,4.6,4.2,,No,No,No,No,21.00,33.00,49.00,6.00
M108Q,M,Twenty-Four Sycamores Park,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
6.8.15",,"Districts 6, 8, 15",,,0.62,0.62,,100,107,,97,53,1236.00,,1307.00,,,1195.00,,798.00,,6.6,7.0,7.0,6.5,,Yes,Yes,Yes,Yes,2620.00,1443.00,915.00,270.00
X295,X,Half-Nelson Playground,,,,,,,,Small Park,"Athletic Facility,Playground",,,Bronx Sector 4.5,,"Districts 4, 5",,,0.61,0.61,,11,7,,6,7,160.00,,113.00,,,101.00,,115.00,,5.8,5.2,4.8,5.2,,No,No,No,No,192.00,400.00,967.00,43.00
M228,M,Henry M. Jackson Playground,,,,,,,,Small Park,Athletic Facilities,,,Manhattan Sector 3,,District 3,,,0.61,0.61,,8,5,,5,6,109.00,,72.00,,,62.00,,85.00,,6.3,5.4,5.3,6.8,,No,No,No,No,127.00,464.00,0.00,189.00
M120A,M,William F. Passannante Ballfield,,,,,,,,Small Park,Athletic Facilities,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.61,0.61,,7,4,,5,6,100.00,,61.00,,,74.00,,91.00,,6.2,4.9,5.2,6.5,,No,No,No,No,0.00,26.00,29.00,19.00
M285,M,Dr. Ronald E. McNair Playground,,,,,,,,Small Park,Playground,,,"Manhattan Sector
10.11",,"Districts 10, 11",,,0.60,0.60,,18,12,,16,22,225.00,,153.00,,,197.00,,283.00,,5.6,4.4,5.5,6.1,,No,No,No,No,1314.00,827.00,76.00,131.00
M249,M,Penn South Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Manhattan Sector 4.5,,"Districts 4, 5",,,0.60,0.60,,12,10,,8,11,167.00,,142.00,,,108.00,,151.00,,4.9,5.6,6.4,6.1,,No,No,No,No,203.00,45.00,74.00,2280.00
B326,B,Cobble Hill Park,,,,,,,,Small Park,Playground,,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.59,0.59,,11,12,,12,12,146.00,,150.00,,,161.00,,163.00,,5.9,6.0,6.2,6.5,,No,No,No,No,2002.00,396.00,111.00,319.00
B402,B,George Walker Jr. Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.59,0.59,,7,9,,10,12,85.00,,112.00,,,135.00,,155.00,,3.5,3.8,4.4,4.5,,No,No,No,No,2451.00,79.00,35.00,300.00
M108N,M,Peter Detmold Park,,,,,,,,Small Park,,,,"Manhattan
Sector 6.8.15",,"Districts 6, 8, 15",,,0.59,0.59,,9,11,,9,7,146.00,,169.00,,,147.00,,108.00,,6.0,6.2,6.1,5.2,,No,Yes,Yes,Yes,380.00,18.00,530.00,52.00
B161,B,Underhill Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Brooklyn Sector 8.9,,"Districts 8, 9",,,0.59,0.59,,47,37,,26,39,568.00,,450.00,,,322.00,,486.00,,5.9,5.5,5.8,6.2,,Yes,Yes,Yes,Yes,208.00,295.00,218.00,775.00
Q120,Q,Harvard Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,"Queens Sector
10.12",,"Districts 10, 12",,,0.58,0.58,,7,5,,6,9,101.00,,65.00,,,91.00,,132.00,,3.0,3.5,4.9,5.2,,No,No,No,No,1394.00,370.00,87.00,273.00
M277,M,Hell's Kitchen Park,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 4.5,,"Districts 4, 5",,,0.58,0.58,,12,12,,11,14,176.00,,169.00,,,160.00,,199.00,,4.9,5.6,6.6,6.5,,No,No,No,No,1217.00,406.00,79.00,407.00
B207,B,Sarsfield Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,"Brooklyn Sector
17.18",,"Districts 17, 18",,,0.58,0.58,,27,28,,24,21,409.00,,346.00,,,298.00,,253.00,,4.9,4.4,5.0,3.1,,Yes,Yes,Yes,Yes,1158.00,792.00,197.00,169.00
Q444 1,Q,Sean's Place,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 1.2,,"Districts 1, 2",,,0.58,0.58,,7,13,,11,10,109.00,,183.00,,,170.00,,162.00,,4.1,4.4,4.5,6.3,,No,No,No,No,0.00,859.00,0.00,298.00
M234,M,Wright Brothers Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Manhattan Sector
12.12A",,"Districts 12, 12A",,,0.58,0.58,,83,49,,32,30,980.00,,585.00,,,365.00,,364.00,,6.1,6.2,6.5,5.5,,Yes,Yes,Yes,Yes,676.00,747.00,398.00,536.00
Q038,Q,Benninger Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 5.6,,"Districts 5, 6",,,0.57,0.57,,10,8,,6,10,157.00,,118.00,,,94.00,,165.00,,4.8,4.5,4.8,5.2,,No,No,No,No,292.00,52.00,3291.00,222.00
Q225,Q,Broad Channel Veteran's Park,,,,,,,,Small Park,,,,Queens Sector 14,,District 14,,,0.57,0.57,,3,5,,2,5,44.00,,62.00,,,32.00,,64.00,,3.4,4.8,4.8,4.7,,No,No,No,No,,,,
M018 1,M,Carmansville Playground,,,,,,,,Small Park,"Athletic
Facilities,Comfort Station,Playground",,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.57,0.57,,8,7,,10,20,102.00,,95.00,,,135.00,,241.00,,5.0,5.3,5.9,6.2,,No,No,No,No,0.00,232.00,164.00,591.00
X269 62,X,Cpl Fischer Park,,,,,,,,Small Park,,,,Bronx Sector 4.5,,"Districts 4, 5",,,0.57,0.57,,12,10,,6,10,169.00,,147.00,,,93.00,,154.00,,5.6,5.3,4.6,5.7,,No,No,No,No,276.00,74.00,407.00,80.00
B209,B,Galapo Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,"Brooklyn
Sector 11.15",,"Districts 11, 15",,,0.57,0.57,,32,39,,33,43,398.00,,483.00,,,418.00,,537.00,,5.0,5.1,6.2,6.4,,Yes,Yes,Yes,Yes,1209.00,923.00,403.00,742.00
B223S,B,Macri Triangle,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.57,0.57,,11,9,,5,8,137.00,,114.00,,,73.00,,103.00,,6.1,4.9,5.6,6.6,,Yes,Yes,Yes,Yes,339.00,215.00,58.00,84.00
B137,B,Sixteen Sycamores Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Brooklyn Sector 2,,District 2,,,0.57,0.57,,41,54,,42,88,510.00,,655.00,,,507.00,,1193.00,,6.3,6.6,6.5,6.2,,Yes,Yes,Yes,Yes,261.00,348.00,569.00,305.00
M259,M,McKinley Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station",,,Manhattan Sector 3,,District 3,,,0.56,0.56,,6,6,,6,6,78.00,,76.00,,,73.00,,84.00,,6.0,5.2,4.5,5.2,,No,No,No,No,24.00,372.00,10.00,2039.00
Q262,Q,Alameda Malls,,,,,,,,Small Park,,,,"Queens Sector
11.13",,"Districts 11, 13",,,0.55,0.55,,2,1,,1,2,38.00,,15.00,,,12.00,,40.00,,1.8,2.1,1.6,2.2,,No,No,No,No,,,,
Q326,Q,Bland Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 7,,District 7,,,0.55,0.55,,5,3,,4,3,96.00,,55.00,,,69.00,,51.00,,3.4,2.8,3.2,2.3,,No,No,No,No,45.00,107.00,0.00,236.00
X102,X,Ciccarone Park,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,Bronx Sector 3.6,,"Districts 3, 6",,,0.55,0.55,,32,22,,8,20,525.00,,384.00,,,117.00,,287.00,,6.4,5.7,3.6,6.0,,Yes,Yes,No,No,1547.00,1732.00,409.00,1234.00
B095,B,Ennis Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.55,0.55,,9,11,,11,12,123.00,,151.00,,,147.00,,151.00,,5.5,5.8,6.0,5.7,,No,No,No,No,229.00,412.00,111.00,212.00
M395,M,Fiorello La Guardia Park,,,,,,,,Small Park,Playground,,,Manhattan Sector 1.2,,"Districts 1, 2",,,0.55,0.55,,6,6,,5,5,87.00,,79.00,,,69.00,,75.00,,5.6,4.6,4.6,5.8,,No,No,No,No,0.00,10.00,23.00,34.00
M221,M,Gutenberg Playground,,,,,,,,Small Park,Athletic Facilities,,,Manhattan Sector 4.5,,"Districts 4, 5",,,0.55,0.55,,8,7,,6,6,116.00,,91.00,,,90.00,,90.00,,4.9,5.7,6.5,6.4,,No,No,No,No,0.00,256.00,0.00,103.00
X299,X,Little Claremont Playgound,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Bronx Sector 3.6,,"Districts 3, 6",,,0.55,0.55,,7,3,,3,4,103.00,,51.00,,,43.00,,61.00,,4.9,3.0,2.5,4.0,,No,No,No,No,46.00,0.00,0.00,0.00
Q035,Q,Mall Thirty Four XXXIV,,,,,,,,Small Park,,,,Queens Sector 3.4,,"Districts 3, 4",,,0.55,0.55,,3,1,,1,1,61.00,,20.00,,,21.00,,20.00,,1.3,1.2,1.2,1.0,,No,No,No,No,83.00,0.00,0.00,0.00
R099,R,Park,,,,,,,,Small Park,,,,"Staten
Island Sector 3",,District 3,,,0.55,0.55,,,,,,1,5.00,,8.00,,,7.00,,9.00,,1.0,1.0,1.0,1.4,,No,No,No,No,0.00,0.00,14.00,0.00
B208,B,Pfc Norton Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,"Brooklyn Sector
11.15",,"Districts 11, 15",,,0.55,0.55,,16,34,,31,40,221.00,,591.00,,,431.00,,504.00,,6.2,5.5,6.4,6.5,,No,Yes,No,Yes,154.00,153.00,0.00,154.00
B297,B,Albemarle Playground,,,,,,,,Small Park,"Athletic
Facility,Comfort Station,Playground",,,"Brooklyn
Sector 10.12",,"Districts 10, 12",,,0.54,0.54,,26,42,,23,19,345.00,,524.00,,,314.00,,275.00,,6.2,6.0,6.2,6.3,,No,Yes,No,No,84.00,1651.00,504.00,545.00
Q122,Q,Junction Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Queens Sector 3.4,,"Districts 3, 4",,,0.54,0.54,,23,17,,12,26,312.00,,236.00,,,181.00,,358.00,,6.2,6.7,6.2,6.6,,No,No,No,No,759.00,402.00,563.00,368.00
B312,B,Woodruff Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,"Brooklyn
Sector 5.16",,"Districts 5, 16",,,0.54,0.54,,15,12,,10,23,231.00,,200.00,,,143.00,,296.00,,5.9,5.5,5.0,5.4,,Yes,Yes,No,Yes,794.00,1031.00,158.00,97.00
X216,X,Abigail Playground,,,,,,,,Small Park,"Athletic Facilities,Comfort
Station,Playground",,,Bronx Sector 1.2,,"Districts 1, 2",,,0.53,0.53,,15,9,,8,12,212.00,,133.00,,,107.00,,166.00,,6.2,5.5,4.5,5.5,,No,No,No,No,554.00,495.00,244.00,80.00
B168,B,Continental Army Plaza,,,,,,,,Small Park,,,,Brooklyn Sector 1,,District 1,,,0.53,0.53,,20,15,,24,14,255.00,,188.00,,,291.00,,176.00,,5.9,5.9,5.8,6.0,,Yes,Yes,Yes,Yes,0.00,94.00,164.00,77.00
M066,M,Dr. Gertrude B. Kelly Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Manhattan Sector 4.5,,"Districts 4, 5",,,0.53,0.53,,12,16,,13,14,177.00,,228.00,,,176.00,,201.00,,5.1,6.0,6.8,6.2,,No,No,No,No,320.00,217.00,822.00,1047.00
M201,M,Wald Playground,,,,,,,,Small Park,"Athletic Facilities,Playgroun
d",,,Manhattan Sector 3,,District 3,,,0.53,0.53,,11,9,,7,13,107.00,,74.00,,,80.00,,158.00,,6.2,5.9,4.7,6.3,,No,No,No,No,328.00,90.00,35.00,282.00
Q045,Q,Andrews Grove,,,,,,,,Small Park,Playground,,,Queens Sector 1.2,,"Districts 1, 2",,,0.52,0.52,,4,2,,11,34,81.00,,45.00,,,166.00,,456.00,,5.5,3.2,3.7,5.8,,No,No,No,No,72.00,383.00,0.00,644.00
M200A,M,Anibal Aviles Playground,,,,,,,,Small Park,Playground,,,Manhattan Sector 7.9,,"Districts 7, 9",,,0.52,0.52,,18,20,,15,16,204.00,,211.00,,,167.00,,196.00,,5.9,6.1,5.7,6.3,,No,No,No,No,1502.00,114.00,348.00,1107.00
X148M,X,Chief Dennis L. Devlin Park,,,,,,,,Small Park,,,,"Bronx
Sector 9.10",,"Districts 9, 10",,,0.52,0.52,,5,4,,3,7,77.00,,61.00,,,56.00,,112.00,,5.6,4.2,4.0,4.8,,No,No,No,No,55.00,0.00,36.00,301.00
B223B,B,Dimattina Playground,,,,,,,,Small Park,"Comfort Station,Playground",,,Brooklyn Sector 6.7,,"Districts 6, 7",,,0.52,0.52,,7,16,,8,8,92.00,,189.00,,,113.00,,109.00,,5.8,5.9,6.1,6.6,,No,No,No,No,466.00,780.00,575.00,457.00
B023,B,Lafayette Playground,,,,,,,,Small Park,"Athletic
Facilities,Playgroun d",,,Brooklyn Sector 3.4,,"Districts 3, 4",,,0.52,0.52,,27,14,,8,12,386.00,,194.00,,,121.00,,180.00,,6.6,5.0,4.1,5.8,,No,No,No,No,0.00,59.00,114.00,344.00
X280,X,Washington Park,,,,,,,,Small Park,"Athletic Facility,Playground",,,Bronx Sector 3.6,,"Districts 3, 6",,,0.52,0.52,,14,5,,4,6,212.00,,65.00,,,63.00,,91.00,,6.3,4.4,2.4,4.8,,No,No,No,No,62.00,219.00,620.00,173.00
Q133,Q,Pat Williams Playground,,,,,,,,Small Park,"Athletic Facility,Playground",,,"Queens Sector
11.13",,"Districts 11, 13",,,0.51,0.51,,4,5,,4,6,72.00,,80.00,,,56.00,,102.00,,4.5,4.1,4.4,4.5,,No,No,No,No,655.00,77.00,0.00,47.00
